unit,icd10,sex,age,geo\time	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
RT,X60-X84_Y870,T,Y15-19,AT	6.1 	4.33 	6.1 	9.02 	6.71 	6.55 	5.33 	7.23 p	5.25 p	4.35 
RT,X60-X84_Y870,T,Y15-19,BE	8.83 	8.14 	6.96 	6.84 	5.07 	6.15 	6.65 	5.55 p	6.62 p	4.54 
RT,X60-X84_Y870,T,Y15-19,BG	4.06 	6.34 	3.97 	5.38 	3.19 	2.57 	3.53 	2.86 p	3.18 p	2.55 
RT,X60-X84_Y870,T,Y15-19,CH	5.56 	7.41 	6.79 	6.14 	7.98 	4.57 	6.68 	9.1 p	5.19 p	7.6 
RT,X60-X84_Y870,T,Y15-19,CY	0 	4.97 	3.53 	3.71 	1.91 	1.96 	2.01 	2.04 p	2.03 p	0 
RT,X60-X84_Y870,T,Y15-19,CZ	7.86 	6.09 	8.48 	7.21 	4.56 	8.07 	9.56 	7.96 p	5.71 p	4.96 
RT,X60-X84_Y870,T,Y15-19,DE	4.3 	4.56 	4.13 	4.81 	4.77 	4.95 	4.53 	4.45 p	4.13 p	3.98 
RT,X60-X84_Y870,T,Y15-19,DK	3.63 	4.74 	4.76 	4.79 	1.42 	3.14 	4.31 	4.92 p	4.36 p	3.5 
RT,X60-X84_Y870,T,Y15-19,EE	11.28 	4.52 	7.98 	16.45 	16.64 	8.37 	8.35 	16.47 p	12.89 p	18.86 
RT,X60-X84_Y870,T,Y15-19,EL	1.95 	1.45 	1.28 	1.66 	1.31 	1.12 	1.48 	2.02 p	1.46 p	1.28 
RT,X60-X84_Y870,T,Y15-19,ES	1.99 	2.29 	2.51 	2.7 	2.63 	2.59 	2.23 	2.96 p	2.87 p	1.98 
RT,X60-X84_Y870,T,Y15-19,EU27_2020	4.85 	4.82 	4.76 	4.9 	4.35 	4.21 	4.39 	4.2 p	4.3 p	3.98 
RT,X60-X84_Y870,T,Y15-19,FI	13.03 	13.57 	10.09 	9.35 	5.59 	7.34 	10.43 	10.13 p	11.47 p	10.76 
RT,X60-X84_Y870,T,Y15-19,FR	4.35 	4.36 	3.93 	3.5 	3.26 	3.37 	3.1 	3.3 p	3.63 p	3.59 
RT,X60-X84_Y870,T,Y15-19,HR	3.69 	4.89 	6.5 	8.21 	5.03 	6.52 	4.11 	4.78 p	4.96 p	7.1 
RT,X60-X84_Y870,T,Y15-19,HU	6.96 	5.19 	3.96 	4.31 	5.26 	4.61 	5.5 	5.74 p	4.31 p	4.1 
RT,X60-X84_Y870,T,Y15-19,IE	11.72 	9.56 	7.33 	4.45 	6.73 	10.21 	6.12 	5.06 p	6.85 p	7.73 
RT,X60-X84_Y870,T,Y15-19,IS	4.31 	: c	4.42 	8.98 	18.09 	18.16 	0 	22.79 p	9.05 p	13.47 
RT,X60-X84_Y870,T,Y15-19,IT	2.06 	1.97 	2.25 	2.55 	2.47 	2.11 	2.45 	2.38 p	2.47 p	2.34 
RT,X60-X84_Y870,T,Y15-19,LI	: c	0 	: c	: c	: c	: c	: c	: c	: c	: c
RT,X60-X84_Y870,T,Y15-19,LT	8.62 	15.4 	21.38 	16.11 	18.64 	8.88 	13.48 	11.41 p	12.7 p	11.62 
RT,X60-X84_Y870,T,Y15-19,LU	0 	9.42 	3.1 	9.23 	3.04 	0 	6.03 	6.03 p	12.02 p	9.04 
RT,X60-X84_Y870,T,Y15-19,LV	8.59 	7.61 	5.22 	16.7 	6.89 	8.14 	6.95 	5.69 p	11.21 p	5.55 
RT,X60-X84_Y870,T,Y15-19,MT	7.56 	: c	0 	8.03 	8.17 	0 	8.69 	: c	: c	0 
RT,X60-X84_Y870,T,Y15-19,NL	3.99 	4.62 	5.33 	5.31 	4.06 	3.8 	6.72 	4.38 p	5.9 p	5.09 
RT,X60-X84_Y870,T,Y15-19,NO	8.33 	6.76 	7.06 	3.37 	4.59 	10.13 	10.2 	8.09 p	9.39 p	9.77 
RT,X60-X84_Y870,T,Y15-19,PL	8.06 	8.96 	9.08 	9.48 	8.33 	6.57 	7.03 	5.03 p	6.06 p	6.9 
RT,X60-X84_Y870,T,Y15-19,PT	1.42 	1.8 	2 	2.55 	1.62 	1.79 	2.15 	1.44 p	2.19 p	1.85 
RT,X60-X84_Y870,T,Y15-19,RO	6.6 	5.84 	5.42 	4.52 	5.64 	3.98 	5.17 	4.88 p	4.17 p	3.31 
RT,X60-X84_Y870,T,Y15-19,RS	1.96 	2.5 	2.57 	2.13 	4.69 	2.26 	3.14 	3.13 p	1.98 p	1.12 
RT,X60-X84_Y870,T,Y15-19,SE	9.25 	5.53 	7.22 	7.47 	6.48 	5.51 	7.26 	7.97 p	8.15 p	7.51 
RT,X60-X84_Y870,T,Y15-19,SI	7.9 	1.01 	6.14 	5.21 	5.27 	8.5 	3.21 	7.53 p	6.43 p	7.46 
RT,X60-X84_Y870,T,Y15-19,SK	3.52 	4.32 	4.85 	4.04 	2.42 	5.32 	3.65 	4.49 p	4.93 p	2.67 
RT,X60-X84_Y870,T,Y15-19,TR	2.25 	2.12 	3.28 	2.72 	2.26 	2.33 	3.76 	4.97 p	4.97 p	: 
RT,X60-X84_Y870,T,Y15-19,UK	2.95 	2.8 	3.19 	3.19 	3.9 	4.27 	4.69 	5.26 p	: 	: 
RT,X60-X84_Y870,T,Y50-54,AT	19.81 	19.68 	19.19 	19.05 	19.04 	18.9 	14.29 	15.37 p	17.66 p	15.01 
RT,X60-X84_Y870,T,Y50-54,BE	30 	33.16 	25.99 	29.55 	28.6 	27.36 	24.18 	26.75 p	27.34 p	25.85 
RT,X60-X84_Y870,T,Y50-54,BG	15.77 	14.41 	12.38 	10.9 	13.53 	11.75 	12.64 	8.8 p	9.28 p	11.74 
RT,X60-X84_Y870,T,Y50-54,CH	16.19 	18.61 	16.21 	20.41 	19.38 	16.58 	19.22 	16.22 p	17.24 p	14.73 
RT,X60-X84_Y870,T,Y50-54,CY	7.17 	1.75 	6.96 	1.76 	7.2 	1.82 	7.35 	7.4 p	3.74 p	3.75 
RT,X60-X84_Y870,T,Y50-54,CZ	26.46 	26.64 	24.12 	22.73 	17.88 	18.55 	19.5 	17.38 p	12.63 p	13.65 
RT,X60-X84_Y870,T,Y50-54,DE	16.51 	15.81 	16.36 	17.13 	15.8 	15.41 	14.86 	15.3 p	13.75 p	13.65 
RT,X60-X84_Y870,T,Y50-54,DK	20.09 	19.36 	16.1 	18.24 	13.24 	12.36 	13.03 	15.84 p	17.05 p	15.49 
RT,X60-X84_Y870,T,Y50-54,EE	25.7 	24.64 	27.01 	26.45 	23.76 	23.27 	22.67 	12.04 p	15.58 p	18.9 
RT,X60-X84_Y870,T,Y50-54,EL	7.12 	5.63 	6.57 	6.74 	6.49 	6.59 	6.88 	7.63 p	7.09 p	5.98 
RT,X60-X84_Y870,T,Y50-54,ES	9.7 	10.21 	13.51 	12.96 	10.77 	10.79 	11.77 	10.34 p	11.22 p	11.89 
RT,X60-X84_Y870,T,Y50-54,EU27_2020	19.32 	19.21 	18.71 	18.06 	16.97 	15.95 	15.37 	15.16 p	14.51 p	14.51 
RT,X60-X84_Y870,T,Y50-54,FI	30.28 	24.5 	22.52 	22.12 	19.2 	20.07 	17.78 	16.61 p	17.21 p	14.51 
RT,X60-X84_Y870,T,Y50-54,FR	27.07 	25.15 	24.31 	21.74 	22.51 	20.94 	20.99 	20.72 p	22.48 p	21.96 
RT,X60-X84_Y870,T,Y50-54,HR	20.04 	26.92 	27.26 	21.87 	22.57 	19.83 	20.82 	23.63 p	13.78 p	17.75 
RT,X60-X84_Y870,T,Y50-54,HU	47.03 	39.67 	34.07 	30.36 	30.47 	29.08 	24.16 	24.18 p	20.14 p	23.74 
RT,X60-X84_Y870,T,Y50-54,IE	15.68 	20.05 	21.07 	19.62 	11.84 	15.35 	15.16 	12.7 p	15.39 p	17.59 
RT,X60-X84_Y870,T,Y50-54,IS	4.68 	14.04 	9.3 	9.26 	13.87 	4.57 	18.06 	0 p	27.2 p	0 
RT,X60-X84_Y870,T,Y50-54,IT	8.67 	10.48 	9.24 	9.52 	9.25 	8.83 	8.01 	7.94 p	8.02 p	7.88 
RT,X60-X84_Y870,T,Y50-54,LI	34.67 	34.03 	33.26 	0 	0 	: c	0 	30.98 p	0 p	30.7 
RT,X60-X84_Y870,T,Y50-54,LT	46.54 	50.86 	68.91 	49.17 	43.96 	40.57 	34.35 	32.7 p	32.63 p	27.31 
RT,X60-X84_Y870,T,Y50-54,LU	27.1 	15.7 	12.6 	19.35 	16.31 	13.52 	15.35 	15.09 p	4.27 p	10.64 
RT,X60-X84_Y870,T,Y50-54,LV	35.21 	39.1 	23.76 	17.53 	29.91 	26.74 	29.13 	26.04 p	22.57 p	19.55 
RT,X60-X84_Y870,T,Y50-54,MT	16.34 	3.29 	19.98 	13.49 	13.7 	10.52 	3.57 	3.59 p	3.55 p	7.05 
RT,X60-X84_Y870,T,Y50-54,NL	15.25 	18.52 	18.73 	20.61 	18.58 	19.12 	18.97 	16.82 p	15.24 p	16.51 
RT,X60-X84_Y870,T,Y50-54,NO	17.4 	20.32 	18.87 	15.29 	17.05 	18.98 	20 	20.98 p	16.53 p	14.19 
RT,X60-X84_Y870,T,Y50-54,PL	29.6 	30.54 	27.48 	27.67 	24.77 	19.25 	17.71 	18.17 p	16.65 p	16.11 
RT,X60-X84_Y870,T,Y50-54,PT	12.86 	11.76 	14.21 	14.76 	13.74 	15.19 	15.62 	11.97 p	12.98 p	11.01 
RT,X60-X84_Y870,T,Y50-54,RO	22.62 	20.3 	20.52 	18.48 	18.44 	16.69 	16.71 	17.34 p	12.33 p	13.95 
