High °F	Low °F	City	High °C	Low °C
57 	44 	Amsterdam, Netherlands 	14 	6
64 	45 	Andorra la Vella, Andorra 	18 	7
72 	57 	Athens, Greece 	22 	14
68 	52 	Barcelona, Spain 	20 	11
63 	47 	Belgrade, Serbia 	17 	9
56 	43 	Berlin, Germany 	13 	6
57 	43 	Birmingham, United Kingdom 	14 	6
59 	42 	Bratislava, Slovakia 	15 	6
58 	44 	Brussels, Belgium 	14 	7
62 	42 	Bucharest, Romania 	17 	6
60 	46 	Budapest, Hungary 	16 	8
58 	42 	Chisinau, Moldova 	14 	6
58 	42 	Cologne, Germany 	14 	6
53 	41 	Copenhagen, Denmark 	11 	5
56 	44 	Dublin, Ireland 	13 	6
54 	42 	Glasgow, United Kingdom 	12 	6
55 	41 	Hamburg, Germany 	13 	5
48 	35 	Helsinki, Finland 	9 	1
66 	53 	İstanbul, Turkey 	19 	12
46 	32 	Kazan, Russia 	8 	0
53 	40 	Kiev, Ukraine 	12 	4
53 	41 	Leeds, United Kingdom 	12 	5
58 	45 	Lille, France 	15 	7
70 	56 	Lisbon, Portugal 	21 	13
59 	43 	Ljubljana, Slovenia 	15 	6
60 	46 	London, United Kingdom 	15 	8
54 	40 	Luxembourg, Luxembourg 	12 	5
62 	47 	Lyon, France 	17 	8
67 	49 	Madrid, Spain 	19 	10
56 	44 	Manchester, United Kingdom 	14 	7
68 	51 	Marseille, France 	20 	11
64 	47 	Milan, Italy 	18 	8
50 	36 	Minsk, Belarus 	10 	2
67 	54 	Monaco, Monaco 	20 	12
48 	34 	Moscow, Russia 	9 	1
55 	40 	Munich, Germany 	13 	4
70 	52 	Naples, Italy 	21 	11
67 	54 	Nice, France 	20 	12
46 	33 	Nizhny & Novgorod, Russia 	8 	1
49 	36 	Oslo, Norway 	10 	2
61 	48 	Paris, France 	16 	9
69 	51 	Podgorica, Montenegro 	21 	11
55 	38 	Prague, Czech Republic 	13 	3
60 	40 	Pristina, Kosovo 	16 	4
45 	35 	Reykjavík, Iceland 	7 	2
50 	37 	Riga, Latvia 	10 	3
71 	48 	Rome, Italy 	21 	9
58 	42 	Rostov-on-Don, Russia 	15 	6
57 	44 	Rotterdam, Netherlands 	14 	6
47 	35 	Saint Petersburg, Russia 	8 	2
49 	34 	Samara, Russia 	9 	1
65 	48 	San Marino, San Marino 	18 	9
59 	41 	Sarajevo, Bosnia & Herzegovina 	15 	5
65 	45 	Skopje, Macedonia 	18 	7
59 	41 	Sofia, Bulgaria 	15 	5
50 	38 	Stockholm, Sweden 	10 	4
48 	36 	Tallinn, Estonia 	9 	2
70 	48 	Tirana, Albania 	21 	9
63 	45 	Turin, Italy 	17 	7
47 	28 	Ufa, Russia 	8 	-2
58 	42 	Vaduz, Liechtenstein 	15 	6
72 	59 	Valletta, Malta 	22 	15
59 	45 	Vienna, Austria 	15 	7
50 	36 	Vilnius, Lithuania 	10 	2
55 	40 	Volgograd, Russia 	13 	4
54 	39 	Warsaw, Poland 	12 	4
60 	43 	Zagreb, Croatia 	16 	6
58 	40 	Zurich, Switzerland 	14 	5
