Country,temp_average
Albania ,15.0
Andorra ,12.5
Austria ,11.0
Belarus ,6.0
Belgium ,10.5
Bosnia & Herzegovina ,10.0
Bulgaria ,10.0
Croatia ,11.0
Czech Republic ,8.0
Denmark ,8.0
Estonia ,5.5
Finland ,5.0
France ,13.5
Germany ,9.25
Greece ,18.0
Hungary ,12.0
Iceland ,4.5
Ireland ,9.5
Italy ,14.0
Kosovo ,10.0
Latvia ,6.5
Liechtenstein ,10.5
Lithuania ,6.0
Luxembourg ,8.5
Macedonia ,12.5
Malta ,18.5
Moldova ,10.0
Monaco ,16.0
Montenegro ,16.0
Netherlands ,10.0
Norway ,6.0
Poland ,8.0
Portugal ,17.0
Romania ,11.5
Russia ,5.6875
San Marino ,13.5
Serbia ,13.0
Slovakia ,10.5
Slovenia ,10.5
Spain ,15.0
Sweden ,7.0
Switzerland ,9.5
Turkey ,15.5
Ukraine ,8.0
United Kingdom ,9.9
